Kommun,Folkmängd(2016) - Hur många är folkbokförda?,,,Folkökning(2016) - Med hur många personer ökade eller minskade folkmängden från föregående år?,Medelålder(2015) - Hur hög är den genomsnittliga åldern?,,,Inkomst(2015) - Hur stor är den genomsnittliga årsinkomsten i tusentals kronor per invånare bland de som är 20 år och äldre från exempelvis arbete och pension?,,,Hur många privatägda personbilar finns registrerade per 1 000 folkbokförda invånare?,Bor och arbetar i kommunen(2015) - Hur många både bor och jobbar i kommunen?,Pendlar in i kommunen(2015) - Hur många jobbar i kommunen men bor i en annan kommun?,Pendlar ut från kommunen(2015) - Hur många bor i kommunen men jobbar i en annan kommun?
,Totalt,Kvinnor,Män,,Totalt,Kvinnor,Män,Totalt,Kvinnor,Män,,,,
Danderyd,32 653 pers.,16 664 pers.,15 989 pers.,232 pers.,"40,6 år","42,1 år","39,1 år","530,4 tkr","390,8 tkr","685,4 tkr",338 bilar/1000 inv.,3 545 pers.,14 871 pers.,11 093 pers.
Solna,78 129 pers.,39 143 pers.,38 986 pers.,1 971 pers.,"39,4 år","40,7 år","38,1 år","334,8 tkr","293,7 tkr","377,6 tkr",230 bilar/1000 inv.,10 754 pers.,69 813 pers.,30 934 pers.
Stockholm,935 619 pers.,473 942 pers.,461 677 pers.,12 103 pers.,"38,9 år","39,9 år","37,8 år","347,3 tkr","302,4 tkr",395 tkr,200 bilar/1000 inv.,361 447 pers.,299 844 pers.,129 604 pers.
Upplands Väsby,43 891 pers.,21 845 pers.,22 046 pers.,1 230 pers.,"39,4 år","40,4 år","38,4 år",308 tkr,"266,4 tkr","350,9 tkr",351 bilar/1000 inv.,6 453 pers.,8 825 pers.,14 910 pers.
Tyresö,47 103 pers.,23 552 pers.,23 551 pers.,926 pers.,39 år,40 år,"38,1 år","342,9 tkr","296,9 tkr","390,3 tkr",324 bilar/1000 inv.,6 336 pers.,5 249 pers.,16 806 pers.
Täby,69 386 pers.,34 952 pers.,34 434 pers.,1 105 pers.,"40,4 år","41,6 år","39,3 år","418,1 tkr","340,6 tkr","499,9 tkr",355 bilar/1000 inv.,9 454 pers.,15 707 pers.,24 035 pers.
Sollentuna,71 023 pers.,35 569 pers.,35 454 pers.,772 pers.,"38,7 år","39,6 år","37,7 år","382,4 tkr","324,6 tkr","442,7 tkr",314 bilar/1000 inv.,8 615 pers.,17 407 pers.,26 080 pers.
